联通专网,#genre#
贵州卫视,http://61.176.2.201:6000/udp/232.0.0.181:1234
山东卫视,http://61.176.2.201:6000/udp/232.0.0.131:1234
山西卫视,http://61.176.2.201:6000/udp/232.0.0.86:1234
广东卫视,http://61.176.2.201:6000/udp/232.0.0.130:1234
广西卫视,http://61.176.2.201:6000/udp/232.0.0.76:1234
湖北卫视,http://61.176.2.201:6000/udp/232.0.0.124:1234
江西卫视,http://61.176.2.201:6000/udp/232.0.0.82:1234
河北卫视,http://61.176.2.201:6000/udp/232.0.0.49:1234
河南卫视,http://61.176.2.201:6000/udp/232.0.0.80:1234
四川卫视,http://61.176.2.201:6000/udp/232.0.0.185:1234
重庆卫视,http://61.176.2.201:6000/udp/232.0.0.186:1234
福建东南卫视,http://61.176.2.201:6000/udp/232.0.0.74:1234
海南卫视,http://61.176.2.201:6000/udp/232.0.0.26:1234
青海卫视,http://61.176.2.201:6000/udp/232.0.0.101:1234
云南卫视,http://61.176.2.201:6000/udp/232.0.0.40:1234
陕西卫视,http://61.176.2.201:6000/udp/232.0.0.35:1234
内蒙古卫视,http://61.176.2.201:6000/udp/232.0.0.111:1234
宁夏卫视,http://61.176.2.201:6000/udp/232.0.0.34:1234
吉林卫视,http://61.176.2.201:6000/udp/232.0.0.180:1234
新疆卫视,http://61.176.2.201:6000/udp/232.0.0.18:1234
甘肃卫视,http://61.176.2.201:6000/udp/232.0.0.50:1234
西藏卫视,http://61.176.2.201:6000/udp/232.0.0.114:1234
黑龙江卫视,http://61.176.2.201:6000/udp/232.0.0.95:1234
深圳卫视,http://61.176.2.201:6000/udp/232.0.0.110:1234
厦门卫视,http://61.176.2.201:6000/udp/232.0.0.160:1234
山东教育卫视,http://61.176.2.201:6000/udp/232.0.0.169:1234
兵团卫视,http://61.176.2.201:6000/udp/232.0.0.67:1234
延边卫视,http://61.176.2.201:6000/udp/232.0.0.161:1234
西藏卫视（藏语）,http://61.176.2.201:6000/udp/232.0.0.104:1234

京冬奥纪实,http://61.176.2.201:6000/udp/232.0.0.162:1234
上海纪实,http://61.176.2.201:6000/udp/232.0.0.132:1234
北京冬奥纪实,http://175.164.178.124:8999/udp/232.0.0.162:1234
上海纪实,http://175.164.178.124:8999/udp/232.0.0.132:1234
欢笑剧场,http://175.164.178.124:8999/udp/232.0.0.98:1234
法治天地,http://175.164.178.124:8999/udp/232.0.0.134:1234
都市剧场,http://175.164.178.124:8999/udp/232.0.0.149:1234
谍战剧场,http://175.164.178.124:8999/udp/232.0.0.203:1234
怀旧电影,http://175.164.178.124:8999/udp/232.0.0.48:1234
劲爆电影,http://175.164.178.124:8999/udp/232.0.0.155:1234
欢笑剧场,http://119.118.80.246:4022/udp/232.0.0.98:1234
法治天地,http://119.118.80.246:4022/udp/232.0.0.134:1234
都市剧场,http://119.118.80.246:4022/udp/232.0.0.149:1234
谍战剧场,http://119.118.80.246:4022/udp/232.0.0.203:1234
地理,http://119.118.80.246:4022/udp/232.0.0.197:1234
怀旧电影,http://119.118.80.246:4022/udp/232.0.0.48:1234
劲爆电影,http://119.118.80.246:4022/udp/232.0.0.155:1234
欢笑剧场,http://61.176.2.201:6000/udp/232.0.0.98:1234
法治天地,http://61.176.2.201:6000/udp/232.0.0.134:1234
都市剧场,http://61.176.2.201:6000/udp/232.0.0.149:1234
谍战剧场,http://61.176.2.201:6000/udp/232.0.0.203:1234
地理,http://61.176.2.201:6000/udp/232.0.0.197:1234
怀旧电影,http://61.176.2.201:6000/udp/232.0.0.48:1234
劲爆电影,http://61.176.2.201:6000/udp/232.0.0.155:1234
