联通专网,#genre#
山西卫视,http://39.134.19.16:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225763/index.m3u8
陕西卫视,http://39.134.19.35:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221225821/index.m3u8
甘肃卫视,http://39.134.19.79:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8
广西卫视,http://39.134.19.22:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225770/index.m3u8
海南卫视,http://39.134.19.39:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225769/index.m3u8
云南卫视,http://39.134.19.59:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8
西藏卫视,http://39.134.19.73:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226212/index.m3u8
新疆卫视,http://39.134.19.68:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8
兵团卫视,http://39.134.19.35:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226214/index.m3u8
金鹰卡通,http://39.134.19.48:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225744/index.m3u8
优漫卡通,http://39.134.19.43:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8
南方卫视,http://39.134.19.141:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226218/index.m3u8
中国教育,http://39.134.19.37:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225753/index.m3u8

