广东联通,#genre#
CETV-2,http://58.248.112.203:8006/GD_CUCC/G_CETV-2.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea7ym1cd9kUCQK%2FGgIxpqwGfdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
CETV-3,http://58.248.112.203:8006/GD_CUCC/G_CETV-3.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0bwOzboKtPwSVL6YEW7%2Bibdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
CETV-4,http://58.248.112.203:8006/GD_CUCC/G_CETV-4.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea3XFAfHnlLi%2BhQlTjYMftlTdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
中华美食,http://58.248.112.203:8006/GD_CUCC/G_ZHONGHUAMS.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea13PU3p0Usv8FjOEENDSW4xISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
天元围棋,http://58.248.112.203:8006/GD_CUCC/G_TIANYUANWQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EayhOv%2BYcLGXjIDOSPvEdjQFISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
青海卫视,http://58.248.112.203:8006/GD_CUCC/G_QINGHAI.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EayN5jpUnTgc6vkq84liUws7XxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
厦门卫视,http://58.248.112.203:8006/GD_CUCC/G_XIAMEN.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2BKwtTN4P9lhrCeWxa%2FGxM3dj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
早期教育,http://58.248.112.203:8006/GD_CUCC/G_CETV-ZQJY-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea5gEcPJzku%2FK%2BhOejG8m3LLi5snZ13AcZqNVEK32DFHT&p=GITV&area=GD_CUCC&gMac=
国学,http://58.248.112.203:8006/GD_CUCC/G_GUOXUE.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6kDNDa0fOFhH7DnWvvr4c7dj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
山东教育电视台,http://58.248.112.203:8006/GD_CUCC/G_SDETV.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2Brzl6MZG5EPz1NmfMYrJmKCr1L0UoJPhdCjqyG7oNvD&p=GITV&area=GD_CUCC&gMac=
嘉佳卡通,http://58.248.112.203:8006/GD_CUCC/G_JIAJIA.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0%2BIxCb%2Flt%2FOBrQXOZhQBc7dj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
发现之旅,http://58.248.112.203:8006/GD_CUCC/G_FAXIANZL.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2BsBz8EDvhqgYmzdFoGLcamlMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
老故事,http://58.248.112.203:8006/GD_CUCC/G_LAOGUSHI.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2FFjhH7Ib9dvxWbm1j%2FZqXqlMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
CGTN俄语频道,http://58.248.112.203:8006/GD_CUCC/G_CGTN-PYCCNN.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EaxMcyzTIO6uk1vbuc%2F1pP8NonI0wpSX7E4xoJhHgMDQ2&p=GITV&area=GD_CUCC&gMac=
CGTN西班牙语频道,http://58.248.112.203:8006/GD_CUCC/G_CGTN-ESPANOL.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2BrjCl9SrL2xMoAnaLQjVYri5snZ13AcZqNVEK32DFHT&p=GITV&area=GD_CUCC&gMac=
CGTN法语频道,http://58.248.112.203:8006/GD_CUCC/G_CGTN-FRANCAIS.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0XZ4k2I2F%2BmA1iESQA8yYElMCmMqRWhdsE4YvZm6QC%2B&p=GITV&area=GD_CUCC&gMac=
CGTN阿拉伯语,http://58.248.112.203:8006/GD_CUCC/G_CGTN_A.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0ae0ysgNkxt4DkgbK0kJ5jdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
袋鼠-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-101.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6mhan4tkY%2FVWpilvVF9BY%2FXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
长颈鹿-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-201.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea80B9%2B%2BQ1VdPi02rsWpz4BLXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
孔雀-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-301.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea4AFOXniPEcotc7X0OEmNE7XxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
火烈鸟-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-401.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea23tmD80FZTWdKBIdZQgcYrXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
老虎-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-501.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea898KtagnCdH9rxgJVqtzM3XxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
黑熊-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-601.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea1J84qgsCoGbiT4kQ4dblyPXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
大象-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-102.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea7bzqdVdvT9GF2zhhqwcVqnXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
斑马-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-801.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6BEfSixmMPEXhQbbz8g16bXxhXPp0dqD7RLUySjjOQh&p=GITV&area=GD_CUCC&gMac=
徐闻综合,http://58.248.112.203:8006/GD_CUCC/zanjiang01.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2BkVuAmYX34nO7BH25UHK0ilMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
梅州综合,http://58.248.112.203:8006/GD_CUCC/meizhou1.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6VSwx1epOXB2HBcyh63vBfdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
客家生活,http://58.248.112.203:8006/GD_CUCC/meizhou2.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea4rXK1tW28VrAqSXaY1wo2Hdj3Yz4jbZjKbgvTA8H7oY&p=GITV&area=GD_CUCC&gMac=
阳江-1,http://58.248.112.203:8006/GD_CUCC/yangjiang1.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2FrkzNFfUr9EGETgw9UdIeGlMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=
